,precision,recall,f1-score,support
anger,0.8638838475499092,0.8530465949820788,0.8584310189359784,558.0
joy,0.8286516853932584,0.8240223463687151,0.8263305322128851,358.0
optimism,0.7017543859649122,0.6504065040650406,0.6751054852320675,123.0
sadness,0.775,0.8115183246073299,0.7928388746803069,382.0
accuracy,0.817030260380014,0.817030260380014,0.817030260380014,0.817030260380014
macro avg,0.79232247972702,0.7847484425057911,0.7881764777653094,1421.0
weighted avg,0.8170797183513863,0.817030260380014,0.8168425502532797,1421.0
