,precision,recall,f1-score,support
anger,0.8763440860215054,0.8763440860215054,0.8763440860215054,558.0
joy,0.850415512465374,0.8575418994413407,0.8539638386648123,358.0
optimism,0.7,0.6829268292682927,0.691358024691358,123.0
sadness,0.824607329842932,0.824607329842932,0.824607329842932,382.0
accuracy,0.8409570724841661,0.8409570724841661,0.8409570724841661,0.8409570724841661
macro avg,0.8128417320824528,0.8103550361435177,0.8115683198051519,1421.0
weighted avg,0.8406395168631978,0.8409570724841661,0.840785426656608,1421.0
