model,hf_model,task,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,eval_loss,train_time_sec,epochs,lr,batch_size,max_length
TimeLM-21,cardiffnlp/twitter-roberta-base-2021-124m,emotion,0.8416608022519353,0.8159090392826371,0.8414744746985894,0.8213330193091504,0.811497129887434,0.5450307130813599,49.624518632888794,5,1e-05,16,128
BERTweet,vinai/bertweet-base,emotion,0.8465869106263195,0.8148992957718255,0.8456018406746862,0.8269431398097086,0.8056269713930935,0.5114241242408752,49.479593992233276,5,1e-05,16,128
TimeLM-19,cardiffnlp/twitter-roberta-base-2019-90m,emotion,0.840253342716397,0.8139855821093149,0.8397633635504953,0.8209724657122344,0.8081031470154831,0.547968327999115,51.02460503578186,5,1e-05,16,128
Rob-tw,cardiffnlp/twitter-roberta-base,emotion,0.8409570724841661,0.8115683198051519,0.840785426656608,0.8128417320824528,0.8103550361435177,0.5384364128112793,44.90099740028381,5,1e-05,16,128
XLM-tw,cardiffnlp/twitter-xlm-roberta-base,emotion,0.8156228008444757,0.7888004780020944,0.8156714985094775,0.7958360528677211,0.783958112010047,0.6429711580276489,51.431360483169556,5,1e-05,16,128
Rob-rt,roberta-base,emotion,0.817030260380014,0.7881764777653094,0.8168425502532797,0.79232247972702,0.7847484425057911,0.6097411513328552,44.83314347267151,5,1e-05,16,128
XLM-r,xlm-roberta-base,emotion,0.7973258268824771,0.7629737299228242,0.7971692711289527,0.7656637364933228,0.7606324738507491,0.6292864680290222,49.08852243423462,5,1e-05,16,128
