            , precision         , recall            , f1-score          , support
anger       , 0.8734622144112478, 0.8906810035842294, 0.8819875776397516,  558.0
joy         , 0.8793103448275862, 0.8547486033519553, 0.8668555240793201,  358.0
optimism    , 0.75              , 0.6341463414634146, 0.6872246696035242,  123.0
sadness     , 0.805             , 0.8429319371727748, 0.8235294117647058,  382.0
accuracy    , 0.8465869106263195, 0.8465869106263195, 0.8465869106263195,    0.8465869106263195
macro avg   , 0.8269431398097086, 0.8056269713930935, 0.8148992957718255, 1421.0
weighted avg, 0.8458444891553498, 0.8465869106263195, 0.8456018406746862, 1421.0
