,precision,recall,f1-score,support
anger,0.8788426763110307,0.8709677419354839,0.8748874887488749,558.0
joy,0.8660968660968661,0.8491620111731844,0.8575458392101551,358.0
optimism,0.7433628318584071,0.6829268292682927,0.711864406779661,123.0
sadness,0.7970297029702971,0.8429319371727748,0.8193384223918575,382.0
accuracy,0.8416608022519353,0.8416608022519353,0.8416608022519353,0.8416608022519353
macro avg,0.8213330193091504,0.811497129887434,0.8159090392826371,1421.0
weighted avg,0.8419112359588111,0.8416608022519353,0.8414744746985894,1421.0
