,precision,recall,f1-score,support
anger,0.8701067615658363,0.8763440860215054,0.8732142857142857,558.0
joy,0.8579545454545454,0.8435754189944135,0.8507042253521127,358.0
optimism,0.7477477477477478,0.6747967479674797,0.7094017094017094,123.0
sadness,0.8080808080808081,0.837696335078534,0.8226221079691517,382.0
accuracy,0.840253342716397,0.840253342716397,0.840253342716397,0.840253342716397
macro avg,0.8209724657122344,0.8081031470154831,0.8139855821093149,1421.0
weighted avg,0.8397798324323051,0.840253342716397,0.8397633635504953,1421.0
