,precision,recall,f1-score,support
anger,0.851985559566787,0.8458781362007168,0.8489208633093526,558.0
joy,0.8674698795180723,0.8044692737430168,0.8347826086956521,358.0
optimism,0.7079646017699115,0.6504065040650406,0.6779661016949152,123.0
sadness,0.7559241706161137,0.8350785340314136,0.7935323383084577,382.0
accuracy,0.8156228008444757,0.8156228008444757,0.8156228008444757,0.8156228008444757
macro avg,0.7958360528677211,0.783958112010047,0.7888004780020944,1421.0
weighted avg,0.8175966490491146,0.8156228008444757,0.8156714985094775,1421.0
