,precision,recall,f1-score,support
anger,0.8345323741007195,0.8315412186379928,0.8330341113105925,558.0
joy,0.8380681818181818,0.8240223463687151,0.8309859154929577,358.0
optimism,0.6324786324786325,0.6016260162601627,0.6166666666666667,123.0
sadness,0.7575757575757576,0.7853403141361257,0.7712082262210797,382.0
accuracy,0.7973258268824771,0.7973258268824771,0.7973258268824771,0.7973258268824771
macro avg,0.7656637364933228,0.7606324738507491,0.7629737299228242,1421.0
weighted avg,0.7972458022715845,0.7973258268824771,0.7971692711289527,1421.0
