            , precision         , recall            , f1-score          , support
anger       , 0.8617594254937163, 0.8602150537634409, 0.8609865470852018,  558.0
joy         , 0.8485714285714285, 0.8296089385474861, 0.8389830508474576,  358.0
optimism    , 0.6982758620689655, 0.6585365853658537, 0.6778242677824268,  123.0
sadness     , 0.7864321608040201, 0.819371727748691 , 0.8025641025641026,  382.0
accuracy    , 0.8240675580577058, 0.8240675580577058, 0.8240675580577058,    0.8240675580577058
macro avg   , 0.7987597192345326, 0.7919330763563679, 0.7950894920697973, 1421.0
weighted avg, 0.8240361346345415, 0.8240675580577058, 0.8238833902840663, 1421.0
