,precision,recall,f1-score,support
anger,0.39268121041520054,1.0,0.5639211723092471,558.0
joy,0.0,0.0,0.0,358.0
optimism,0.0,0.0,0.0,123.0
sadness,0.0,0.0,0.0,382.0
accuracy,0.39268121041520054,0.39268121041520054,0.39268121041520054,0.39268121041520054
macro avg,0.09817030260380014,0.25,0.14098029307731177,1421.0
weighted avg,0.154198533013147,0.39268121041520054,0.22144124852115404,1421.0
